appid,name,rel_date,developer,publisher,req_age,achvmts,med_pt,price,tot_rat,rat_pos,ds_rel,windows,mac,linux,multi,online,ctlr,anti_cheat,iap,indie,early_acc,ftp,genre,tot_tag,dist_tag,mc_score,dlc_count,est_sales,tot_lang,est_rev
300,Day of Defeat: Source,2010-07-12,Valve,Valve,0,54,134,7.19,11699,0.8965723566116762,3215,True,True,True,True,False,False,True,False,False,False,False,FPS,2256,21,80.0,1,7500000,1,53925000.0
500,Left 4 Dead,2008-11-17,Valve,Valve,0,73,278,7.19,18899,0.9498386157997778,3817,True,True,False,True,False,True,True,False,False,False,False,FPS,7760,21,89.0,1,7500000,17,53925000.0
550,Left 4 Dead 2,2009-11-19,Valve,Valve,0,70,566,7.19,260207,0.9676488334287702,3450,True,True,True,True,False,True,True,False,False,False,False,FPS,38004,21,89.0,1,15000000,19,107850000.0
730,Counter-Strike: Global Offensive,2012-08-21,Valve;Hidden Path Entertainment,Valve,0,167,6502,0.0,3046717,0.8679519627192155,2444,True,True,True,True,False,True,True,True,False,False,True,FPS,174593,21,83.0,1,75000000,25,0.0
1250,Killing Floor,2009-05-14,Tripwire Interactive,Tripwire Interactive,0,285,306,14.99,56359,0.9529977465888323,3639,True,True,True,True,False,False,True,False,False,False,False,FPS,10567,21,72.0,21,3500000,8,52465000.0
2210,Quake IV,2011-08-04,RavenSoft / id Software,Bethesda Softworks,18,0,32,12.99,1062,0.8389830508474576,2827,True,False,False,True,False,False,False,False,False,False,False,FPS,725,16,81.0,1,350000,1,4546500.0
3730,Aliens versus Predator Classic 2000,2010-01-15,Rebellion,Rebellion,0,0,24,3.99,1653,0.867513611615245,3393,True,False,False,True,False,False,False,False,False,False,False,FPS,778,17,,1,350000,5,1396500.0
8870,BioShock Infinite,2013-03-25,Irrational Games;Aspyr (Mac);Virtual Programming (Linux),2K;Aspyr (Mac),18,80,519,19.99,83288,0.9538228796465277,2228,True,True,True,False,False,True,False,False,False,False,False,FPS,18236,21,94.0,5,3500000,11,69965000.0
9200,RAGE,2011-10-03,id Software,Bethesda Softworks,16,60,392,7.99,12276,0.7652329749103942,2767,True,False,False,True,False,False,False,False,False,False,False,FPS,3273,21,79.0,1,1500000,9,11985000.0
10090,Call of Duty: World at War,2008-11-18,Treyarch,Activision,16,0,1108,19.99,21078,0.9296422810513332,3816,True,False,False,True,False,False,False,False,False,False,False,FPS,8689,21,83.0,1,1500000,5,29984999.999999996
13210,Unreal Tournament 3 Black,2009-03-05,"Epic Games, Inc.","Epic Games, Inc.",0,57,239,13.99,2692,0.8967310549777118,3709,True,False,False,True,False,False,False,False,False,False,False,FPS,1311,21,83.0,1,750000,5,10492500.0
17080,Tribes: Ascend,2012-06-27,Hi-Rez Studios,Hi-Rez Studios,0,0,75,0.0,8208,0.7882553606237817,2499,True,False,False,True,False,False,False,False,False,False,True,FPS,3753,21,86.0,1,3500000,4,0.0
17300,Crysis,2008-09-17,Crytek,Electronic Arts,0,0,105,9.99,7352,0.8263057671381937,3878,True,False,False,False,False,False,False,False,False,False,False,FPS,3110,21,91.0,1,1500000,9,14985000.0
19900,Far Cry® 2: Fortune's Edition,2008-10-22,Ubisoft Montreal,Ubisoft,0,0,229,8.59,7031,0.7526667614848528,3843,True,False,False,True,False,False,False,False,False,False,False,FPS,2473,21,85.0,1,1500000,5,12885000.0
21100,F.E.A.R. 3,2011-06-21,Day 1 Studios,Warner Bros. Interactive Entertainment,18,50,298,12.99,7379,0.7248949722184578,2871,True,False,False,True,False,False,False,False,False,False,False,FPS,1930,21,74.0,1,1500000,9,19485000.0
22350,BRINK,2011-05-09,Splash Damage,Bethesda Softworks,0,43,99,0.0,5824,0.5997596153846154,2914,True,False,False,True,False,False,False,False,False,False,True,FPS,2102,21,70.0,3,1500000,5,0.0
24240,PAYDAY™ The Heist,2011-10-20,OVERKILL Software,Daybreak Game Company,18,56,248,10.99,37178,0.9318683092151272,2750,True,False,False,False,False,False,False,False,False,False,False,FPS,7271,21,76.0,2,3500000,5,38465000.0
24960,Battlefield: Bad Company™ 2,2010-03-02,DICE,Electronic Arts,0,0,671,14.99,26970,0.8562476826103077,3347,True,False,False,True,False,False,False,False,False,False,False,FPS,5512,21,87.0,1,3500000,7,52465000.0
32400,STAR WARS™ - Dark Forces,2009-09-16,LucasArts,LucasArts;Lucasfilm;Disney Interactive,0,0,101,4.79,1672,0.8977272727272727,3514,True,True,False,False,False,False,False,False,False,False,False,FPS,744,14,,1,1500000,5,7185000.0
35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2011-09-13,Tripwire Interactive,Tripwire Interactive,0,140,269,14.99,29196,0.9221126181668722,2787,True,False,False,True,True,False,True,False,False,False,False,FPS,6640,21,76.0,1,3500000,5,52465000.0
41000,Serious Sam HD: The First Encounter,2009-11-24,Croteam,Devolver Digital,0,35,271,10.99,4219,0.9362408153590899,3445,True,False,False,True,False,False,False,False,True,False,False,FPS,1235,21,68.0,1,1500000,6,16485000.0
41070,Serious Sam 3: BFE,2011-11-22,Croteam,Devolver Digital,0,62,215,29.99,17551,0.8873568457637742,2717,True,True,True,True,True,True,False,False,True,False,False,FPS,3931,21,72.0,2,3500000,9,104965000.0
42670,Singularity™,2010-06-30,Raven Software,Activision,18,0,148,14.99,2993,0.9241563648513198,3227,True,False,False,True,False,False,False,False,False,False,False,FPS,1395,20,76.0,1,150000,5,2248500.0
47790,Medal of Honor™,2010-10-12,Electronic Arts,Electronic Arts,0,0,166,14.99,4579,0.7008080366892334,3123,True,False,False,True,False,False,False,False,False,False,False,FPS,1362,19,72.0,1,1500000,8,22485000.0
49520,Borderlands 2,2012-09-20,Gearbox Software;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),18,69,1139,19.99,155616,0.929178233600658,2414,True,True,True,False,False,True,False,False,False,False,False,FPS,33409,21,89.0,47,7500000,8,149925000.0
57900,Duke Nukem Forever,2011-06-09,Gearbox Software,2K,18,62,472,14.99,6676,0.6640203714799281,2883,True,True,False,True,False,False,False,False,False,False,False,FPS,1903,21,54.0,2,1500000,5,22485000.0
67370,The Darkness II,2012-02-09,Digital Extremes,2K,18,50,214,19.99,13226,0.9066989263571753,2638,True,True,False,False,False,False,False,False,False,False,False,FPS,2459,21,77.0,1,1500000,7,29984999.999999996
98400,Hard Reset Extended Edition,2012-07-12,Flying Wild Hog,Good Shepherd Entertainment,0,115,275,9.99,3881,0.8309713991239371,2484,True,False,False,False,False,False,False,False,True,False,False,FPS,1178,15,73.0,1,750000,6,7492500.0
201810,Wolfenstein: The New Order,2014-05-19,Machine Games,Bethesda-Soft,18,50,630,14.99,29738,0.8987490752572466,1808,True,False,False,False,False,False,False,False,False,False,False,FPS,8061,21,81.0,1,1500000,7,22485000.0
203290,America's Army: Proving Grounds,2013-08-01,U.S. Army,U.S. Army,0,98,24,0.0,8315,0.7712567648827421,2099,True,False,False,True,False,False,False,False,False,False,True,FPS,4734,21,,1,3500000,1,0.0
208200,Doom 3: BFG Edition,2012-10-18,id Software,Bethesda Softworks,18,65,985,14.99,4729,0.836751956016071,2386,True,False,False,True,False,False,False,False,False,False,False,FPS,1943,21,,1,750000,6,11242500.0
209060,Drunken Robot Pornography,2014-02-19,"Dejobaan Games, LLC","Dejobaan Games, LLC",0,11,167,10.99,623,0.841091492776886,1897,True,False,True,False,False,True,False,False,True,False,False,FPS,947,17,66.0,1,75000,1,824250.0
209160,Call of Duty®: Ghosts,2014-03-25,Infinity Ward,Activision,16,40,307,39.99,25649,0.5806074310889313,1863,True,False,False,True,False,True,True,False,False,False,False,FPS,9124,21,68.0,51,1500000,5,59985000.0
209650,Call of Duty®: Advanced Warfare - Gold Edition,2014-11-03,Sledgehammer Games;Raven Software,Activision,18,45,267,39.99,21768,0.6150771775082691,1640,True,False,False,True,False,True,True,False,False,False,False,FPS,16490,21,78.0,43,750000,6,29992500.0
217140,Rise of the Triad,2013-07-31,Slipgate Ironworks™,Apogee Software,18,80,343,10.99,2109,0.680891417733523,2100,True,False,False,True,True,False,False,False,False,False,False,FPS,1109,19,67.0,1,350000,1,3846500.0
218230,PlanetSide 2,2012-11-20,Daybreak Game Company,Daybreak Game Company,0,0,150,0.0,43721,0.8226710276526155,2353,True,False,False,True,True,False,False,False,False,False,True,FPS,15382,21,84.0,1,7500000,5,0.0
220240,Far Cry 3,2012-11-28,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft,0,0,794,16.99,51953,0.8917868073066041,2345,True,False,False,True,False,False,False,False,False,False,False,FPS,15318,21,88.0,1,3500000,17,59464999.99999999
222880,Insurgency,2014-01-22,New World Interactive,New World Interactive,0,100,245,6.99,101925,0.9061074319352465,1925,True,True,True,True,False,True,True,False,True,False,False,FPS,17660,21,74.0,1,3500000,11,24465000.0
225160,Shadow Warrior Classic Redux,2013-07-08,General Arcade,Devolver Digital,0,20,152,6.99,1940,0.9221649484536083,2123,True,True,True,False,False,True,False,False,False,False,False,FPS,1154,21,,1,350000,1,2446500.0
225840,Sven Co-op,2016-01-22,Sven Co-op Team,Sven Co-op Team,18,0,56,0.0,13384,0.9123580394500896,1195,True,False,False,True,True,False,False,False,True,False,True,FPS,3855,21,,1,3500000,1,0.0
227940,Heroes & Generals,2016-10-18,RETO MOTO,RETO MOTO,0,0,76,0.0,100272,0.6567735758736237,925,True,False,False,True,True,False,False,True,True,False,True,FPS,29428,21,,2,15000000,11,0.0
232090,Killing Floor 2,2016-11-18,Tripwire Interactive,Tripwire Interactive,18,257,957,19.99,69271,0.8794011924181837,894,True,False,False,True,True,True,True,True,False,False,False,FPS,19312,21,75.0,1,3500000,18,69965000.0
233270,Far Cry 3 - Blood Dragon,2013-05-01,Ubisoft Montreal,Ubisoft,0,0,201,12.49,10539,0.8807287218901224,2191,True,False,False,False,False,False,False,False,False,False,False,FPS,4512,21,81.0,1,1500000,8,18735000.0
234190,Receiver,2013-04-29,Wolfire Games,Wolfire Games,0,0,112,3.99,3322,0.7907886815171583,2193,True,True,True,False,False,False,False,False,True,False,False,FPS,1752,21,,1,750000,1,2992500.0
236510,Takedown: Red Sabre,2014-02-10,Serellan LLC,505 Games,0,0,89,3.99,5514,0.38737758433079433,1906,True,False,False,True,False,True,False,False,False,False,False,FPS,1354,21,34.0,1,350000,5,1396500.0
242860,Verdun,2015-04-28,M2H;Blackmill Games,M2H,0,58,5410,15.49,26466,0.8330688430439054,1464,True,True,True,True,True,False,False,False,True,False,False,FPS,6546,21,70.0,1,1500000,12,23235000.0
253610,Wrack,2014-09-30,Final Boss Entertainment,Final Boss Entertainment,0,69,78,6.99,508,0.7303149606299213,1674,True,False,False,False,False,True,False,False,True,False,False,FPS,419,17,66.0,1,75000,1,524250.0
265630,Fistful of Frags,2014-05-09,Fistful of Frags Team,Fistful of Frags Team,0,17,86,0.0,26202,0.9084421036562095,1818,True,True,True,True,True,False,False,False,True,False,True,FPS,5968,21,,1,3500000,14,0.0
266110,Tower of Guns,2014-03-04,Terrible Posture Games,Terrible Posture Games LLC,0,17,1301,10.99,974,0.8223819301848049,1884,True,True,True,False,False,False,False,False,True,False,False,FPS,917,18,76.0,1,350000,1,3846500.0
270450,Robot Roller-Derby Disco Dodgeball,2015-02-19,Erik Asmussen,82 Apps,0,76,406,6.99,3414,0.9241359109548917,1532,True,True,True,True,False,True,False,False,True,False,False,FPS,1329,21,,1,350000,1,2446500.0
273110,Counter-Strike Nexon: Zombies,2014-10-07,"Valve Corporation, Nexon Korea Corporation",Nexon Korea Corporation,0,65,112,0.0,34257,0.645999357795487,1667,True,False,False,True,True,False,False,True,False,False,True,FPS,14160,21,,1,7500000,6,0.0
282440,Quake Live™,2014-09-17,id Software,Bethesda Softworks,0,58,1263,6.99,12183,0.839448411721251,1687,True,False,False,True,False,False,False,False,False,False,False,FPS,2754,20,,1,3500000,1,24465000.0
286690,Metro 2033 Redux,2014-08-27,4A Games,Deep Silver,0,49,350,14.99,35492,0.7939535670010143,1708,True,True,True,False,False,True,False,False,False,False,False,FPS,6202,21,,1,3500000,10,52465000.0
287390,Metro: Last Light Redux,2014-08-27,4A Games,Deep Silver,0,49,328,14.99,29357,0.7999114350921416,1708,True,True,True,False,False,True,False,False,False,False,False,FPS,5912,21,76.0,1,3500000,10,52465000.0
291480,Warface,2014-07-01,My.com,My.com,16,30,104,0.0,47160,0.6944656488549619,1765,True,False,False,True,True,False,False,True,False,False,True,FPS,15254,21,62.0,5,15000000,9,0.0
296300,Ballistic Overkill,2017-03-28,Aquiris Game Studio,Aquiris Game Studio,0,45,899,8.99,6120,0.7589869281045751,764,True,True,True,True,True,False,True,False,True,False,False,FPS,1328,21,,14,350000,14,3146500.0
298600,Lovely Planet,2014-07-31,QUICKTEQUILA,tinyBuild,0,14,303,4.79,2273,0.9203695556533216,1735,True,True,True,False,False,False,False,False,True,False,False,FPS,764,20,61.0,1,350000,1,1676500.0
299030,Blood: One Unit Whole Blood,2014-07-14,Monolith Productions,Atari,0,0,0,3.99,1135,0.9030837004405287,1752,True,False,False,False,False,False,False,False,False,False,False,FPS,624,21,82.0,1,75000,1,299250.0
308420,Ziggurat,2014-10-23,Milkstone Studios,Milkstone Studios,0,38,766,10.99,3080,0.8685064935064936,1651,True,True,True,False,False,True,False,False,True,False,False,FPS,1582,21,75.0,1,350000,10,3846500.0
311210,Call of Duty®: Black Ops III,2015-11-05,Treyarch;Aspyr (Mac),Activision;Aspyr (Mac),18,98,2513,44.99,59412,0.6102302565138356,1273,True,True,False,True,False,True,True,False,False,False,False,FPS,20821,21,73.0,8,1500000,11,67485000.0
321030,One Day For Ched,2014-09-12,BS1 & BSL Team,Strategy First,0,0,0,2.79,259,0.4555984555984556,1692,True,False,False,False,False,False,False,False,True,False,False,FPS,75,5,,1,75000,1,209250.0
322500,SUPERHOT,2016-02-25,SUPERHOT Team,SUPERHOT Team,0,26,203,17.99,17049,0.8708428646841457,1161,True,True,True,False,False,True,False,False,True,False,False,FPS,3437,21,82.0,1,1500000,14,26984999.999999996
324810,TOXIKK™,2016-09-10,Reakktor Studios,Reakktor Studios,0,60,47,0.0,5047,0.765801466217555,963,True,False,False,True,True,False,True,False,True,False,True,FPS,1591,21,,1,750000,1,0.0
333930,Dirty Bomb®,2015-06-01,Splash Damage,Warchest Ltd.,0,77,73,0.0,54634,0.8006552696123294,1430,True,False,False,True,True,False,False,True,False,False,True,FPS,10275,21,63.0,1,7500000,6,0.0
335330,Brick-Force,2014-12-11,Exe Games Inc.,Infernum Games GmbH,0,0,30,0.0,4366,0.3898305084745763,1602,True,False,False,True,False,False,False,False,False,False,True,FPS,2478,21,,1,750000,6,0.0
338170,Ratz Instagib,2016-07-27,Lino Slahuschek,Rising Star Games,0,13,85,6.99,2505,0.8542914171656687,1008,True,True,False,True,False,False,False,False,True,False,False,FPS,257,11,,1,150000,5,1048500.0
338180,Batla,2015-05-14,[geim].pro,Abyss Lights Studio LLP,0,61,231,0.0,2864,0.5879888268156425,1448,True,False,False,True,False,False,False,False,False,False,True,FPS,1807,21,,1,750000,3,0.0
359550,Tom Clancy's Rainbow Six® Siege,2015-12-01,Ubisoft Montreal,Ubisoft,0,0,2543,16.99,310798,0.8081712237530486,1247,True,False,False,True,False,False,False,True,False,False,False,FPS,29912,21,,19,7500000,15,127424999.99999999
362890,Black Mesa,2015-05-05,Crowbar Collective,Crowbar Collective,0,25,794,14.99,15112,0.9338935944944415,1457,True,False,True,True,True,False,False,False,True,True,False,FPS,5288,20,86.0,1,1500000,7,22485000.0
371180,Super 3-D Noah's Ark,2015-06-23,"Wisdom Tree, Inc.",Piko Interactive LLC;Classics Digital,0,27,1,3.99,551,0.9038112522686026,1408,True,True,True,False,False,True,False,False,False,False,False,FPS,842,21,,1,75000,1,299250.0
376760,Big Thinkers Kindergarten,2015-08-18,Humongous Entertainment,Humongous Entertainment;Nightdive Studios,0,0,55,4.99,30,0.7666666666666667,1352,True,True,True,False,False,False,False,False,False,False,False,FPS,106,5,,1,35000,1,174650.0
379720,DOOM,2016-05-12,id Software,Bethesda Softworks,18,54,560,14.99,73692,0.9300331107854313,1084,True,False,False,True,False,False,False,False,False,False,False,FPS,16384,21,85.0,1,3500000,10,52465000.0
391460,WARMODE,2015-08-25,Novalink,Novalink,0,0,36,0.0,15149,0.5929764340880587,1345,True,False,False,True,False,False,False,False,False,True,True,FPS,3062,20,,1,3500000,2,0.0
393080,Call of Duty®: Modern Warfare® Remastered,2017-07-27,Raven Software;Beenox,Activision,0,50,556,34.99,2260,0.5079646017699115,643,True,False,False,False,True,False,False,False,False,False,False,FPS,635,15,,1,35000,12,1224650.0
393380,Squad,2015-12-14,Offworld Industries,Offworld Industries,0,0,1563,32.5,29547,0.796662943784479,1234,True,False,False,True,True,False,True,False,True,True,False,FPS,8041,20,,1,750000,27,24375000.0
394230,Battleborn,2016-05-03,Gearbox Software,2K,0,60,752,0.0,9186,0.6196385804485086,1093,True,False,False,True,True,True,False,False,False,False,False,FPS,2573,21,69.0,1,750000,11,0.0
409710,BioShock™ Remastered,2016-09-15,2K Boston;2K Australia;Blind Squirrel;Feral Interactive (Mac),2K;Feral Interactive (Mac),18,65,149,9.99,13773,0.6281855804835548,958,True,True,False,False,False,True,False,False,False,False,False,FPS,1405,21,80.0,1,3500000,7,34965000.0
418460,Rising Storm 2: Vietnam,2017-05-30,Antimatter Games;Tripwire Interactive,Tripwire Interactive,0,132,1773,18.99,21978,0.7826462826462827,701,True,False,False,True,True,False,False,True,False,False,False,FPS,4150,21,81.0,9,750000,10,14242499.999999998
422970,Devil Daggers,2016-02-18,Sorath,Sorath,0,1,399,3.99,4684,0.952604611443211,1168,True,True,True,False,False,False,False,False,True,False,False,FPS,1280,21,83.0,1,350000,1,1396500.0
433350,BlackShot: Mercenary Warfare FPS,2016-05-31,Vertigo Games America,Papaya Play;Vertigo Games America,0,48,112,0.0,2440,0.5155737704918033,1065,True,False,False,True,True,False,False,True,False,False,True,FPS,2000,21,,1,750000,5,0.0
436520,Line of Sight,2017-01-31,BlackSpot Entertainment,BlackSpot Entertainment,0,408,68,0.0,7959,0.5731875863801985,820,True,False,False,True,True,False,True,True,True,False,True,FPS,4145,21,,2,3500000,14,0.0
442780,STRAFE: Millennium Edition,2017-05-09,Pixel Titans,Devolver Digital,0,36,181,11.39,1722,0.7171893147502904,722,True,True,True,False,False,False,False,False,True,False,False,FPS,675,21,,1,350000,6,3986500.0
447820,Day of Infamy,2017-03-23,New World Interactive,New World Interactive,0,97,7455,11.39,17518,0.8191003539216806,769,True,True,True,False,True,False,False,False,True,False,False,FPS,2592,21,77.0,1,750000,7,8542500.0
460510,One Dark Night,2016-12-14,Emblematic Group,Emblematic Group,0,0,0,0.0,108,0.4537037037037037,868,True,False,False,False,False,False,False,False,True,False,True,FPS,143,8,,1,35000,1,0.0
476600,Call of Duty®: WWII,2017-11-02,Sledgehammer Games;Raven Software,Activision,18,35,324,44.99,19041,0.5647287432382753,545,True,False,False,True,True,True,True,True,False,False,False,FPS,8840,21,,3,750000,12,33742500.0
489940,BATTALION 1944,2018-02-01,Bulkhead Interactive,Square Enix,0,0,846,15.99,7492,0.5164175120128137,454,True,False,False,True,True,False,False,True,False,True,False,FPS,636,15,,1,350000,1,5596500.0
511600,Space Jones VR,2016-08-11,VikingVRStudio,VikingVRStudio,0,4,0,3.99,22,0.7272727272727273,993,True,False,False,False,False,False,False,False,True,False,False,FPS,60,4,,1,10000,3,39900.0
518030,Aim Hero,2016-09-05,ProGames Studio,ProGames Studio,0,0,158,3.99,3054,0.8500327439423707,968,True,False,False,False,False,False,False,False,False,True,False,FPS,343,12,,1,350000,5,1396500.0
534440,Killing Zombies,2016-10-27,FRS Game Studio,"Front Range Software, LLC",0,33,0,3.99,23,0.8260869565217391,916,True,False,False,True,True,False,False,False,True,False,False,FPS,192,10,,1,10000,1,39900.0
543030,Slap The Fly,2016-11-02,Forceight,Forceight,0,0,37,4.79,97,0.7216494845360825,910,True,False,False,False,True,False,False,False,True,False,False,FPS,132,7,,1,10000,1,47900.0
550650,Black Squad,2017-07-28,NS STUDIO,NS STUDIO,0,36,42,0.0,44776,0.7525236733964624,642,True,False,False,True,False,False,False,True,False,True,True,FPS,11114,20,,9,7500000,14,0.0
597770,VINDICTA,2017-06-19,Game Cooks,Game Cooks,0,0,0,10.99,82,0.7682926829268293,681,True,False,False,False,False,False,False,False,False,True,False,FPS,82,7,,1,10000,1,109900.0
603370,Western FPS,2017-03-13,Narayan Games,Dark Light Studio,0,0,450,0.79,131,0.6946564885496184,779,True,False,False,False,False,False,False,False,True,False,False,FPS,54,5,,1,350000,1,276500.0
611500,Quake Champions,2017-08-22,id Software,Bethesda Softworks,0,52,102,0.0,22977,0.6910823867345607,617,True,False,False,False,True,False,False,False,False,True,True,FPS,1557,20,,1,750000,8,0.0
633460,Tannenberg,2017-11-16,Blackmill Games;M2H,M2H,0,67,143,15.49,3626,0.8325979040264755,531,True,True,True,True,True,False,False,False,True,False,False,FPS,840,21,68.0,1,150000,12,2323500.0
636480,Ravenfield,2017-05-18,SteelRaven7,SteelRaven7,0,0,2773,10.99,9688,0.9412675474814203,713,True,True,True,False,False,False,False,False,True,True,False,FPS,5124,20,,1,350000,1,3846500.0
660880,b,2017-06-26,u&i,u&i,0,0,7,0.0,3179,0.8958792072978924,674,True,False,False,False,False,False,False,False,True,False,True,FPS,6792,21,,1,150000,1,0.0
665120,Jetman Go,2017-09-29,Linkflag Studio,Linkflag Studio,0,18,0,1.69,171,0.8187134502923976,579,True,False,False,True,True,False,False,False,True,False,False,FPS,9602,21,,1,10000,2,16900.0
696650,BLACK DAY,2017-09-18,Helios Production,Helios Production,0,0,0,11.39,114,0.8070175438596491,590,True,False,False,False,False,False,False,False,True,True,False,FPS,190,13,,1,10000,8,113900.0
722750,The Killbox: Arena Combat,2017-10-22,Ugamehome,Ugamehome,0,12,0,0.0,60,0.5666666666666667,556,True,False,False,True,True,False,False,True,False,False,False,FPS,67,5,,1,10000,2,0.0
723780,Modern Combat Versus,2017-12-19,Gameloft,Gameloft,0,21,206,0.0,3622,0.5554942020982883,498,True,False,False,True,True,True,False,True,False,False,True,FPS,1267,18,,1,750000,14,0.0
725640,DUEL,2017-10-16,DUEL,DUEL,0,0,0,1.69,12,0.75,562,True,False,False,False,False,False,False,False,True,False,False,FPS,64,5,,1,10000,3,16900.0
734580,BattleRush,2018-03-27,Thunder Devs.,Thunder Devs.,0,0,35,0.0,2150,0.6562790697674419,400,True,False,False,True,False,False,False,False,True,False,True,FPS,922,19,,10,350000,1,0.0
735410,Task is to Survive,2017-10-31,Laush Dmitriy Sergeevich,Laush Dmitriy Sergeevich,0,11,9,2.89,13,0.5384615384615384,547,True,False,False,False,False,False,False,False,True,False,False,FPS,154,11,,1,10000,1,28900.0
751440,VR Kanojo / VRカノジョ,2018-04-08,ILLUSION,ILLUSION,0,0,0,32.99,638,0.8040752351097179,388,True,False,False,False,False,True,False,False,False,False,False,FPS,1917,22,,1,35000,4,1154650.0
767110,Anime Girls VR,2017-12-23,Kawaii VR,Kawaii VR,0,0,0,9.29,17,0.35294117647058826,494,True,False,False,False,False,False,False,False,True,False,False,FPS,331,16,,1,10000,2,92899.99999999999
785670,Great Hunt: North America,2018-03-12,Simulators Live,Simulators Live,0,51,0,7.19,29,0.41379310344827586,415,True,True,False,False,False,False,False,False,True,False,False,FPS,791,18,,1,10000,9,71900.0
